record id,contact id,meeting id,host,contact name,from,meeting type,meeting category,mobile number,phone number,contact number
zcrm_287844661648788979,zcrm_250675434675909990,zcrm_434070553605461673,Jane Johnson,Taylor Johnson,,Phone Call,Internal,+1 123 456 7890,N/A,+1 123 456 7890
zcrm_665402418947827374,zcrm_528976743751200498,zcrm_750421488245122256,Jordan Brown,Pat Smith,unknown,Follow-up,Support,+1 123 456 7890,###-###-####,###-###-####
zcrm_667254020215861913,zcrm_202747373463768063,zcrm_724308006269643811,Alex Smith,John Martinez,unknown,In-person,Onboarding,(123) 456-7890,N/A,N/A
zcrm_532697725010345351,zcrm_413967830716056652,zcrm_015528091384566805,John Martinez,Sam Doe,system@crm.com,Chat,Support,,+1 123 456 7890,
zcrm_388245447367778812,zcrm_351376282393638101,zcrm_996536888044071942,Taylor Smith,Jane Lee,system@crm.com,In-person,Sales,N/A,+1 123 456 7890,123-456-7890
zcrm_144135726070281558,zcrm_849395145611230600,zcrm_311905280764216788,John Smith,Taylor Brown,,Chat,,,+1 123 456 7890,+1 123 456 7890
zcrm_669955811861195087,zcrm_793346271727688510,zcrm_959437258533825706,John Brown,Taylor Martinez,system@crm.com,Phone Call,,###-###-####,(123) 456-7890,
zcrm_414284131839479862,zcrm_969983792964375844,zcrm_207537740224946630,Chris Johnson,Jane Kim,system@crm.com,Online,,N/A,+1 123 456 7890,###-###-####
zcrm_051105307707871588,zcrm_548639544352203534,zcrm_660260245096991641,Alex Lee,John Smith,system@crm.com,Online,Review,(123) 456-7890,1234567890,123-456-7890
zcrm_608936358431565557,zcrm_544584022466648644,zcrm_851217187332110734,Chris Kim,Pat Smith,contact@domain,Video Conference,,###-###-####,(123) 456-7890,###-###-####
zcrm_521789811842811357,zcrm_478049653340996340,zcrm_952523289487779030,John Martinez,Pat Lee,contact@domain,Follow-up,Internal,N/A,N/A,123-456-7890
zcrm_645378627764798362,zcrm_595771518408738234,zcrm_616090435616568249,Chris Doe,Pat Lee, ,Online,Client,(123) 456-7890,1234567890,###-###-####
zcrm_631478541485781183,zcrm_271043875799043689,zcrm_051205495729364002,Taylor Garcia,John Kim,unknown, ,Support,N/A,###-###-####,N/A
zcrm_853989981851170055,zcrm_763350055121770379,zcrm_695267204239592384,Sam Johnson,Alex Kim,system@crm.com,Chat,Review,,N/A,(123) 456-7890
zcrm_927997149899905923,zcrm_759694915935709845,zcrm_030891794508236238,Alex Martinez,Jane Johnson, ,Phone Call,Support,N/A,(123) 456-7890,###-###-####
zcrm_807917702918736449,zcrm_407181234798168425,zcrm_824436359784275679,Pat Smith,Pat Lee,user@email.com,Chat,,###-###-####,(123) 456-7890,###-###-####
zcrm_267144561286129922,zcrm_489448556075000171,zcrm_249078710708984903,Jordan Smith,Alex Martinez, ,Video Conference,,###-###-####,,###-###-####
zcrm_884544350718193229,zcrm_100171539778633150,zcrm_626269883070406785,Chris Doe,Chris Kim,,Phone Call,Support,1234567890,1234567890,###-###-####
zcrm_699393858957839740,zcrm_994726690941129610,zcrm_095938138049102019,John Brown,John Garcia,contact@domain,Follow-up,Support,+1 123 456 7890,1234567890,+1 123 456 7890
zcrm_135794292037632177,zcrm_752131806526882289,zcrm_477418992311425710,Pat Kim,Taylor Garcia,system@crm.com, ,Review,+1 123 456 7890,+1 123 456 7890,###-###-####
zcrm_512545558468138747,zcrm_911593594178124042,zcrm_138510798140523588,Chris Smith,Alex Doe,,Online,,###-###-####,123-456-7890,N/A
zcrm_600101575961713593,zcrm_532909169661502478,zcrm_875489483123284213,Alex Lee,Sam Doe, ,Online,,###-###-####,+1 123 456 7890,123-456-7890
zcrm_283862978172468776,zcrm_576303248355525411,zcrm_682952653299658189,Chris Smith,Taylor Smith, ,Phone Call,Review,###-###-####,N/A,###-###-####
zcrm_398493582224621308,zcrm_569945827457618737,zcrm_571437463729154675,,Jordan Kim,unknown,Chat,Sales,1234567890,123-456-7890,N/A
zcrm_841605250034909967,zcrm_178355575122128752,zcrm_527279872483226253,,Pat Garcia,contact@domain,In-person,Client,,,123-456-7890
zcrm_873871910142314540,zcrm_031227126586241546,zcrm_033947299628035055,John Martinez,Alex Johnson,contact@domain,Video Conference,Onboarding,1234567890,+1 123 456 7890,(123) 456-7890
zcrm_286469276971362384,zcrm_661597404695554922,zcrm_951242951518895849,Sam Garcia,Pat Lee,unknown,Follow-up,Client,,(123) 456-7890,+1 123 456 7890
zcrm_292229358150073463,zcrm_659723413135680528,zcrm_124093429403506620,John Smith,Alex Garcia,system@crm.com,Follow-up,,123-456-7890,123-456-7890,123-456-7890
zcrm_588321511528945051,zcrm_797421238666703125,zcrm_803185580816536127,Taylor Smith,Chris Lee,contact@domain,Online,Support,+1 123 456 7890,###-###-####,123-456-7890
zcrm_649625268180435407,zcrm_048465432347615333,zcrm_576590002420146127,Sam Martinez,Jane Doe,system@crm.com,Online,Internal,,123-456-7890,1234567890
zcrm_368227400428911438,zcrm_744917289585631436,zcrm_038610281727463188,Chris Smith,Jane Smith, ,Follow-up,,(123) 456-7890,+1 123 456 7890,N/A
zcrm_516495053512781821,zcrm_410421478803157723,zcrm_582730336982878118,Chris Doe,John Johnson, ,In-person,Onboarding,(123) 456-7890,,N/A
zcrm_065260753873585705,zcrm_421496569149614622,zcrm_249426515564047335,,Alex Kim,contact@domain,Video Conference,Sales,(123) 456-7890,(123) 456-7890,
zcrm_453671432875714821,zcrm_489941703220782838,zcrm_909863841883370011,John Martinez,Jordan Lee, ,In-person,Sales,+1 123 456 7890,,+1 123 456 7890
zcrm_801871475390577291,zcrm_483001909999078091,zcrm_709585234839970244,Jane Johnson,Alex Kim, , ,Onboarding,(123) 456-7890,N/A,123-456-7890
zcrm_636986649730915695,zcrm_264495065444548151,zcrm_646681162566703176,Alex Doe,Chris Martinez,,In-person,Internal,(123) 456-7890,(123) 456-7890,###-###-####
zcrm_852667113515140164,zcrm_123466215354225756,zcrm_695716284053066244,Pat Garcia,Chris Doe,unknown,Follow-up,Sales,N/A,+1 123 456 7890,1234567890
zcrm_684247733299775287,zcrm_408609877474232113,zcrm_581660561306855171,Taylor Kim,Chris Kim,unknown,Phone Call,Onboarding,1234567890,1234567890,1234567890
zcrm_911133483929639449,zcrm_989225799405026964,zcrm_068899657835416405,Sam Lee,Alex Smith,user@email.com, ,Support,###-###-####,(123) 456-7890,+1 123 456 7890
zcrm_485077913840047260,zcrm_957023378384368969,zcrm_802981342090980000,Taylor Doe,Taylor Lee,user@email.com,In-person,Client,(123) 456-7890,123-456-7890,+1 123 456 7890
zcrm_451004347819533966,zcrm_469201847094765324,zcrm_575243120495207899,Jane Martinez,Pat Kim, , ,Client,+1 123 456 7890,###-###-####,1234567890
zcrm_187540847738404636,zcrm_616952200602818860,zcrm_310062086518905018,Taylor Lee,Taylor Garcia,user@email.com,Follow-up,Review,1234567890,1234567890,
zcrm_013933807684908203,zcrm_960271632339567007,zcrm_890417597573466303,Taylor Johnson,Chris Doe,system@crm.com,In-person,Internal,+1 123 456 7890,+1 123 456 7890,(123) 456-7890
zcrm_820937694758893710,zcrm_747549965398238800,zcrm_537962595275322791,Pat Garcia,Jordan Lee,system@crm.com,Video Conference,Onboarding,N/A,,1234567890
zcrm_998216388374997967,zcrm_331843874635954713,zcrm_712108262828474158,Chris Johnson,Pat Martinez, ,Video Conference,Review,+1 123 456 7890,1234567890,
zcrm_851239038251532182,zcrm_187575931082238475,zcrm_169145000678783175,Alex Garcia,Pat Johnson, ,Follow-up,Review,+1 123 456 7890,(123) 456-7890,###-###-####
zcrm_389119283427672342,zcrm_871944955919279191,zcrm_458828673037542286,Sam Smith,Pat Doe,user@email.com, ,Review,###-###-####,(123) 456-7890,+1 123 456 7890
zcrm_463778883169251383,zcrm_822259998579477191,zcrm_110735038397884824,Taylor Johnson,Pat Garcia,user@email.com, ,Onboarding,###-###-####,+1 123 456 7890,
zcrm_018054102289215337,zcrm_542016999387183410,zcrm_904889773323333669,Jordan Garcia,John Martinez, ,Chat,,+1 123 456 7890,,N/A
zcrm_311704423666109275,zcrm_659779095417845437,zcrm_014701046155872892,Chris Garcia,Sam Kim,user@email.com,Follow-up,Sales,###-###-####,123-456-7890,1234567890
zcrm_692427256882003156,zcrm_468730204287604699,zcrm_599426738888357088,Jane Garcia,Alex Lee,user@email.com,Video Conference,Sales,N/A,123-456-7890,+1 123 456 7890
zcrm_837228656446399117,zcrm_875740558312661236,zcrm_188733167600120464,Jordan Kim,Taylor Doe,unknown,Phone Call,Sales,123-456-7890,###-###-####,(123) 456-7890
zcrm_925675657025335552,zcrm_963907998779220317,zcrm_193363419260070485,John Doe,Sam Doe, ,In-person,Internal,N/A,+1 123 456 7890,1234567890
zcrm_415733592884910271,zcrm_421689110219791247,zcrm_474309211460880086,Pat Lee,Sam Garcia,contact@domain,Phone Call,Review,N/A,###-###-####,###-###-####
zcrm_460743233808948137,zcrm_037464481097798480,zcrm_083870476791868708,Alex Martinez,Pat Lee,unknown,In-person,Review,(123) 456-7890,,N/A
zcrm_762933738792603248,zcrm_802140200178962873,zcrm_059799699917976537,Jordan Garcia,John Doe,system@crm.com,Chat,Review,+1 123 456 7890,###-###-####,123-456-7890
zcrm_150624482132268065,zcrm_098033815002192872,zcrm_788503392133509312,Taylor Kim,Alex Garcia, , ,Review,(123) 456-7890,(123) 456-7890,1234567890
zcrm_180452219251108956,zcrm_936874333739880151,zcrm_068017817428646451,Sam Garcia,Taylor Johnson,unknown,Video Conference,,,N/A,123-456-7890
zcrm_925543740698021213,zcrm_643387005128061405,zcrm_921636392977014870,Jane Brown,Jordan Smith,,Video Conference,Sales,,+1 123 456 7890,123-456-7890
zcrm_596286020867974030,zcrm_996807026014958768,zcrm_585628758714360908,Jane Martinez,Jane Martinez,,Follow-up,Support,,N/A,+1 123 456 7890
zcrm_303771082164357234,zcrm_245973594723359238,zcrm_215488864372529946,Taylor Garcia,Alex Martinez,,In-person,Onboarding,(123) 456-7890,+1 123 456 7890,(123) 456-7890
zcrm_026338171756973663,zcrm_018774532256862453,zcrm_047453043661671075,Chris Lee,Jordan Brown,,Online,Support,N/A,+1 123 456 7890,N/A
zcrm_706165907923573599,zcrm_468828916484396608,zcrm_895450940583359948,John Lee,John Smith,,Chat,Internal,###-###-####,1234567890,###-###-####
zcrm_937332162034062257,zcrm_355924862174902252,zcrm_370493004499067623,Taylor Garcia,John Brown,system@crm.com,In-person,Client,123-456-7890,(123) 456-7890,###-###-####
zcrm_405874860661445976,zcrm_769153593729718456,zcrm_167353301527402550,Chris Brown,John Lee,system@crm.com,In-person,Support,1234567890,(123) 456-7890,(123) 456-7890
zcrm_437447172950886858,zcrm_391898657053990112,zcrm_043174377556514338,Taylor Kim,Alex Doe,user@email.com,Online,,###-###-####,(123) 456-7890,123-456-7890
zcrm_909736009235923388,zcrm_515756251065628121,zcrm_523836123569846962,Sam Lee,Chris Doe,unknown, ,Client,1234567890,###-###-####,
zcrm_393328733851609771,zcrm_479304010284263657,zcrm_582632669530296030,Taylor Johnson,Jane Kim,, ,Sales,+1 123 456 7890,1234567890,123-456-7890
zcrm_549642170963496646,zcrm_567793958406944267,zcrm_551608511653254321,John Kim,John Martinez,user@email.com,Follow-up,Review,(123) 456-7890,(123) 456-7890,123-456-7890
zcrm_636937240252495378,zcrm_218054642843376135,zcrm_110960861122641119,Alex Lee,Jordan Lee,unknown, ,Client,N/A,N/A,123-456-7890
zcrm_593564184634573882,zcrm_636233453002422048,zcrm_407502002445387100,,Pat Martinez,,Follow-up,Support,,(123) 456-7890,(123) 456-7890
zcrm_511579433361690842,zcrm_679760778923268564,zcrm_279120121760303046,Sam Johnson,Jordan Kim, ,Video Conference,Sales,(123) 456-7890,N/A,
zcrm_307426746306981186,zcrm_721768802646130816,zcrm_481244472026093374,Alex Martinez,Jordan Kim,unknown, ,Sales,,(123) 456-7890,###-###-####
zcrm_835173804029907550,zcrm_096596909617691360,zcrm_071660083990426298,Taylor Smith,Alex Martinez,unknown,Video Conference,Client,+1 123 456 7890,(123) 456-7890,+1 123 456 7890
zcrm_839089707035832419,zcrm_562755366741948849,zcrm_058730897871819663,Taylor Kim,Sam Johnson,unknown,Online,Sales,123-456-7890,N/A,123-456-7890
zcrm_325869222255294066,zcrm_682837236946876773,zcrm_197249254149415233,Sam Brown,Chris Lee,system@crm.com, ,Client,,,123-456-7890
zcrm_927543113617848699,zcrm_245206595891675940,zcrm_422348529638397469,Pat Lee,John Brown,user@email.com,In-person,,+1 123 456 7890,+1 123 456 7890,1234567890
zcrm_801364270465427712,zcrm_677498791540344822,zcrm_212310313275488676,John Kim,Pat Doe,system@crm.com,Follow-up,,+1 123 456 7890,,(123) 456-7890
zcrm_337207384200252854,zcrm_137069981788035386,zcrm_549663541352908039,Taylor Kim,Taylor Martinez,system@crm.com,In-person,Onboarding,,1234567890,+1 123 456 7890
zcrm_058957326899831135,zcrm_743081175946654758,zcrm_749315183932531124,Jordan Kim,Sam Johnson,contact@domain,Chat,,###-###-####,N/A,123-456-7890
zcrm_374762144205979788,zcrm_986700350472349422,zcrm_639658831133703524,Chris Johnson,Chris Garcia,user@email.com, ,,###-###-####,+1 123 456 7890,+1 123 456 7890
zcrm_415106122480471024,zcrm_812479212902473398,zcrm_219512498121365199,,Jane Kim,contact@domain,Follow-up,Sales,123-456-7890,(123) 456-7890,N/A
zcrm_222170901162623375,zcrm_788381985238875707,zcrm_924606605143954478,Sam Garcia,Sam Garcia,unknown,Online,Client,###-###-####,+1 123 456 7890,
zcrm_456099469666036546,zcrm_144099839196172752,zcrm_802230644390511509,Pat Smith,Pat Garcia, ,Follow-up,Sales,1234567890,N/A,N/A
zcrm_888059570834643418,zcrm_170002822827758222,zcrm_717902935808167817,Jordan Smith,Chris Kim,user@email.com,Phone Call,Onboarding,N/A,+1 123 456 7890,(123) 456-7890
zcrm_856548846946222253,zcrm_908241227182697676,zcrm_135416617722747270,Sam Doe,Taylor Johnson,contact@domain, ,Onboarding,(123) 456-7890,N/A,
zcrm_605139650199428559,zcrm_079963621680046350,zcrm_612661640419279994,Jane Brown,Alex Garcia,system@crm.com,In-person,,123-456-7890,123-456-7890,N/A
zcrm_159138052168308365,zcrm_481546115079867808,zcrm_141025791771745717,,Chris Garcia, ,Video Conference,Internal,(123) 456-7890,+1 123 456 7890,###-###-####
zcrm_995425628208796444,zcrm_490949403519571509,zcrm_941731247642734242,Sam Kim,Jane Doe,contact@domain,Chat,,N/A,###-###-####,(123) 456-7890
zcrm_273469629822727299,zcrm_109348462548452689,zcrm_380284491869685281,Alex Johnson,Taylor Garcia,contact@domain,In-person,Client,123-456-7890,,
zcrm_852526628091792226,zcrm_504036769850712838,zcrm_909424188460445985,John Brown,Taylor Garcia,unknown,Online,Onboarding,###-###-####,,(123) 456-7890
zcrm_251335048063826581,zcrm_072084220979158212,zcrm_491388396352739117,Jane Lee,Alex Lee,user@email.com,Phone Call,Client,+1 123 456 7890,1234567890,123-456-7890
zcrm_519632424169209925,zcrm_937239753228458335,zcrm_662378363424425002,,Pat Garcia,contact@domain, ,Client,N/A,(123) 456-7890,1234567890
zcrm_661546899090317123,zcrm_062707645953078858,zcrm_415266642160390043,Jane Kim,Alex Smith,unknown, ,Internal,(123) 456-7890,N/A,123-456-7890
zcrm_133363944825167153,zcrm_443628942206415418,zcrm_808909395793487742,Jordan Smith,Taylor Martinez,contact@domain,In-person,,123-456-7890,1234567890,123-456-7890
zcrm_682891085859502346,zcrm_471932436481266172,zcrm_961029713569317606,Jane Garcia,Chris Brown,system@crm.com,Phone Call,Client,(123) 456-7890,123-456-7890,1234567890
zcrm_841068264064476238,zcrm_789093964885491900,zcrm_155569849264543222,Alex Lee,Chris Johnson, , ,Client,###-###-####,###-###-####,
zcrm_163110574750413999,zcrm_363480256679848638,zcrm_356102924744910918,Pat Johnson,Jane Brown,system@crm.com,In-person,,123-456-7890,###-###-####,
zcrm_400912732301469094,zcrm_966326186709490834,zcrm_186640920835548978,Pat Lee,Taylor Johnson,contact@domain,Phone Call,,1234567890,###-###-####,1234567890
zcrm_837793980173360990,zcrm_580081474756064729,zcrm_756201757389871840,Jane Garcia,Alex Garcia,system@crm.com,Video Conference,Internal,+1 123 456 7890,123-456-7890,1234567890
zcrm_612891018250883628,zcrm_519776552046277930,zcrm_376987850414852961,Sam Garcia,Chris Garcia,unknown,In-person,Sales,N/A,+1 123 456 7890,123-456-7890
zcrm_713082890414785220,zcrm_862178168507096581,zcrm_104110259401697587,,Sam Doe,system@crm.com,Phone Call,Client,N/A,+1 123 456 7890,###-###-####
zcrm_949411857006796969,zcrm_168713302551544094,zcrm_976906754769030914,Pat Lee,Alex Johnson,, ,Internal,,(123) 456-7890,+1 123 456 7890
zcrm_045194457812789983,zcrm_918254340193183987,zcrm_918538184153853552,John Doe,Alex Martinez,contact@domain, ,Sales,1234567890,(123) 456-7890,(123) 456-7890
zcrm_745579344062902385,zcrm_975255384828937920,zcrm_391699487976997490,Jane Brown,Sam Brown,user@email.com, ,Internal,N/A,123-456-7890,###-###-####
zcrm_478835606347818629,zcrm_179530262669303447,zcrm_975213891169520957,Pat Johnson,Sam Kim,user@email.com,Chat,Internal,+1 123 456 7890,N/A,+1 123 456 7890
zcrm_950417673467522981,zcrm_186720514659591620,zcrm_690080261421911342,Sam Garcia,Pat Garcia,user@email.com,Follow-up,Support,+1 123 456 7890,(123) 456-7890,(123) 456-7890
zcrm_171963276430142054,zcrm_101417762871770076,zcrm_618184766989527299,Sam Johnson,John Martinez,contact@domain,In-person,Client,,+1 123 456 7890,1234567890
zcrm_784457603568952386,zcrm_823528341825069511,zcrm_018694339104333850,Sam Lee,John Martinez,contact@domain,Video Conference,Client,+1 123 456 7890,(123) 456-7890,(123) 456-7890
zcrm_056056755262576827,zcrm_753708210709898954,zcrm_078118355135027485,,Sam Doe,contact@domain,Phone Call,Onboarding,###-###-####,,N/A
zcrm_640491408979366717,zcrm_531764246971014303,zcrm_390704193735966147,,Chris Smith, ,Follow-up,Client,123-456-7890,N/A,1234567890
zcrm_452432735801994208,zcrm_481452990297666480,zcrm_063723443359400835,Chris Brown,Sam Johnson,user@email.com,Chat,Support,+1 123 456 7890,,
zcrm_338947250180628173,zcrm_697068879657357831,zcrm_700166054770392004,Sam Kim,Alex Doe, ,Chat,Internal,N/A,(123) 456-7890,1234567890
zcrm_532488744406745001,zcrm_781248584202022165,zcrm_893027221502395686,Chris Garcia,Alex Kim,user@email.com,Video Conference,Internal,+1 123 456 7890,+1 123 456 7890,+1 123 456 7890
zcrm_375963538226295724,zcrm_647397941028371660,zcrm_253385576060555581,Jane Kim,Chris Johnson,contact@domain,Online,Internal,,123-456-7890,1234567890
zcrm_058915525195006197,zcrm_913232959792964571,zcrm_470523879065261191,Taylor Martinez,Alex Kim,user@email.com,In-person,Support,123-456-7890,+1 123 456 7890,N/A
zcrm_087060728273397158,zcrm_566264266432626808,zcrm_044652821023721124,Sam Brown,Sam Martinez,unknown,Chat,Sales,(123) 456-7890,1234567890,
zcrm_347569301661583880,zcrm_942873354344454744,zcrm_495752088032285064,Sam Garcia,Jordan Kim,user@email.com,In-person,Client,N/A,,1234567890
zcrm_496361865821950743,zcrm_749433866721411420,zcrm_148473194405678072,Alex Martinez,Chris Lee,,In-person,Sales,+1 123 456 7890,###-###-####,N/A
zcrm_825426250157479463,zcrm_375610957950857791,zcrm_323421331101573527,John Martinez,Sam Garcia,system@crm.com, ,Sales,,+1 123 456 7890,(123) 456-7890
zcrm_188548055879505056,zcrm_474686542252353202,zcrm_855054379602842256,Chris Brown,Sam Kim, ,Video Conference,Onboarding,###-###-####,+1 123 456 7890,1234567890
zcrm_443840027915543800,zcrm_693220601706991243,zcrm_830874387384579000,John Kim,Alex Garcia,,Follow-up,Review,123-456-7890,+1 123 456 7890,123-456-7890
zcrm_326052932109637984,zcrm_946299775517992484,zcrm_323906474230451412,Chris Martinez,Chris Johnson,unknown,Chat,Review,,1234567890,(123) 456-7890
zcrm_961218508786571511,zcrm_139891430318783899,zcrm_465825846726052748,Chris Kim,Pat Garcia,unknown,Phone Call,Support,###-###-####,+1 123 456 7890,###-###-####
zcrm_358881337521520917,zcrm_583601503117782567,zcrm_985612446941694782,John Smith,Pat Martinez,system@crm.com, ,Client,N/A,+1 123 456 7890,N/A
zcrm_525687090010090849,zcrm_380787981881933227,zcrm_824732810079701100,Jordan Doe,Taylor Smith,contact@domain,Phone Call,,(123) 456-7890,+1 123 456 7890,###-###-####
zcrm_168165668643625273,zcrm_284332922763756293,zcrm_024691412390306003,Alex Garcia,Pat Doe,user@email.com,Chat,Sales,###-###-####,123-456-7890,(123) 456-7890
zcrm_835875698576743112,zcrm_328786402586227932,zcrm_094883884205911246,Jane Smith,John Martinez,system@crm.com,Follow-up,Support,###-###-####,,(123) 456-7890
zcrm_858674341013899636,zcrm_860766611076915072,zcrm_239200765496901947,John Johnson,Sam Kim,unknown, ,,1234567890,123-456-7890,N/A
zcrm_181978963673639045,zcrm_543868233242987259,zcrm_476457949247835593,,Pat Martinez,user@email.com,Phone Call,Internal,###-###-####,N/A,123-456-7890
zcrm_014739127520032114,zcrm_504481507034807445,zcrm_812118078956879444,Sam Brown,Chris Garcia,unknown,Video Conference,,123-456-7890,###-###-####,
zcrm_050498244590257758,zcrm_146715274031757676,zcrm_554351883746838333,Jordan Brown,John Johnson,contact@domain,In-person,Sales,###-###-####,+1 123 456 7890,(123) 456-7890
zcrm_957852487039760585,zcrm_064838220744901947,zcrm_800016394240970761,,John Johnson,system@crm.com, ,Support,1234567890,N/A,
zcrm_734098972912656864,zcrm_573158964455587401,zcrm_444851694257793498,,Jordan Brown,unknown,Online,Internal,###-###-####,1234567890,+1 123 456 7890
zcrm_017068958214744865,zcrm_626011932070535770,zcrm_785244848927129414,Taylor Martinez,Alex Doe,user@email.com,Follow-up,Client,+1 123 456 7890,N/A,(123) 456-7890
zcrm_302961180178175731,zcrm_985524405527783434,zcrm_113233277431077054,John Smith,Pat Garcia,system@crm.com,Follow-up,Sales,+1 123 456 7890,(123) 456-7890,(123) 456-7890
zcrm_254791046726562775,zcrm_132704946577787237,zcrm_567635465580981836,Chris Johnson,Chris Lee, , ,Review,,123-456-7890,(123) 456-7890
zcrm_293844393314334257,zcrm_079172293598698136,zcrm_964381924295133789,Jordan Smith,Alex Garcia, ,Video Conference,Support,+1 123 456 7890,+1 123 456 7890,1234567890
zcrm_056694271986878681,zcrm_367503095228486463,zcrm_955404691041447929,Taylor Lee,John Garcia,user@email.com,Chat,Support,N/A,123-456-7890,1234567890
zcrm_337278809778367471,zcrm_549421159607257498,zcrm_825128724234235639,Taylor Smith,Jordan Garcia,, ,,N/A,###-###-####,+1 123 456 7890
zcrm_282121114039165621,zcrm_443261905977114217,zcrm_150747499793620861,,Jordan Johnson,contact@domain,Phone Call,Internal,+1 123 456 7890,###-###-####,1234567890
zcrm_047659347182011495,zcrm_682090345894001907,zcrm_637088089786150589,Pat Kim,Alex Garcia,contact@domain,Chat,Review,123-456-7890,123-456-7890,(123) 456-7890
zcrm_177475268502043933,zcrm_017733199486441023,zcrm_642281625319422232,Pat Kim,John Lee,user@email.com, ,Sales,###-###-####,N/A,N/A
